name,link,ingredients,steps,nutrition,image_url
Salted Grapefruit Fizz,https://www.allrecipes.com/salted-grapefruit-fizz-recipe-8717911,"{'quantity': '1', 'unit': None, 'name': 'ruby grapefruit, zested and juiced'}, {'quantity': '1', 'unit': 'cup', 'name': 'sugar'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'lime juice'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'water'}, {'quantity': '1½', 'unit': 'teaspoons', 'name': 'kosher salt'}, {'quantity': '1', 'unit': 'cup', 'name': 'grapefruit juice'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'lime juice'}, {'quantity': '4', 'unit': 'cups', 'name': 'club soda'}, {'quantity': None, 'unit': None, 'name': 'citrus ice ring (optional)'}","To make the salted grapefruit cordial: Remove strips of zest from 1 ruby grapefruit with a vegetable peeler, avoiding any white pith. Stir grapefruit zest and sugar together in a jar. Chill, covered, for 24 hours.. Squeeze juice from the grapefruit and measure out 1/2 cup juice. Pour 1/2 cup grapefruit juice, fresh lime juice, and water over the sugar mixture in the jar. Stir in kosher salt. Stir or shake mixture to dissolve sugar. Strain out zest; chill for 1 hour or cover and keep chilled for up to 3 days.. To make the punch: Combine salted grapefruit cordial, grapefruit juice, and lime juice in a punch bowl. Chill until ready to serve; pour in club soda before serving with citrus ice ring, if using.. To make a citrus ice ring: Fill an ice ring mold with very thin half slices of grapefruit and very thin slices of lime. Fill ring halfway with water; freeze until firm, about 30 minutes. Add more water to fill mold, freeze until firm, about 2 hours.","calories: 119, fat: 0g, carbs: 31g, protein: 1g, servings: 12",https://www.allrecipes.com/thmb/M2Eueyx1nouQSzsFP1wPmp8nJcc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8717911-Salted-Grapefruit-Fizz-Allrecipes-Magazine-4x3-bb6b84611a3e43a89de54a80c6ead257.jpg
Mezcal Hot Toddy,https://www.allrecipes.com/mezcal-hot-toddy-recipe-8717916,"{'quantity': '6', 'unit': 'cups', 'name': 'water'}, {'quantity': '1 1/2', 'unit': 'cups', 'name': 'orange juice'}, {'quantity': '1', 'unit': 'cup', 'name': 'maple syrup'}, {'quantity': '8', 'unit': None, 'name': 'hibiscus tea bags (or 3 tablespoons dried hibiscus flowers'}, {'quantity': '1', 'unit': 'cup', 'name': 'mezcal'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'chile liqueur'}, {'quantity': None, 'unit': None, 'name': 'orange slices'}, {'quantity': None, 'unit': None, 'name': 'whole cloves'}","Heat  water, orange juice, and pure maple syrup just to a boil in a Dutch oven. Remove from heat. Add 8 tea bags (or dried flowers). Cover and steep for 5 to 7 minutes.. Remove tea bags (or strain). Add mezcal and chile liqueur. Keep warm over very low heat or transfer to a slow cooker set to Keep Warm. Serve in mugs; garnish with orange slices studded with cloves.","calories: 215, fat: 0g, carbs: 38g, protein: 0g, servings: 8",https://www.allrecipes.com/thmb/eILQDBXjG6NdHik8pgzmOk9LnQ4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8717916-Mezcal-Hot-Toddy-Allrecipes-Magazine-4x3-4f9e1c3102ae413682c127bb87a901d4.jpg
Apple Cider Punch,https://www.allrecipes.com/apple-cider-punch-recipe-8717933,"{'quantity': '1', 'unit': 'bag', 'name': 'cinnamon tea'}, {'quantity': '1', 'unit': None, 'name': 'cinnamon stick, plus more for serving'}, {'quantity': '1', 'unit': 'cup', 'name': 'water'}, {'quantity': '4', 'unit': 'cups', 'name': 'apple cider'}, {'quantity': '1/2', 'unit': 'cup', 'name': 'lemon juice'}, {'quantity': '1/3', 'unit': 'cup', 'name': 'maple syrup, plus more for garnish'}, {'quantity': None, 'unit': None, 'name': 'turbinado sugar, for garnish'}, {'quantity': None, 'unit': None, 'name': 'lemon wedges, for serving'}","Steep tea bag and cinnamon stick in the boiling water 5 minutes or according to package directions. Discard tea bag and cinnamon stick. Let cool.. Combine tea, apple cider, lemon juice, and maple syrup in a pitcher. Serve immediately (or chill up to 2 days).. To serve, spread additional maple syrup on a small plate and Demerara sugar (or turbinado sugar) on another small plate. Dip rim of glass into maple syrup to coat and then into Demerara to coat. Fill glass with ice (see “Everything’s Rosy,” below) and add punch. Serve with lemon wedges and additional cinnamon sticks.","calories: 99, fat: 0g, carbs: 25g, protein: 0g, servings: 8",https://www.allrecipes.com/thmb/Jpb7-UZDRey0gSx3dymOnfHzJTI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8717933-Apple-Cider-Punch-Allrecipes-Magazine-4x3-ea5a133a69e54c52b90a546f40a9ab01.jpg
Hard Cranberry Limeade,https://www.allrecipes.com/hard-cranberry-limeade-recipe-8558931,"{'quantity': '3', 'unit': 'fluid ounces', 'name': 'cranberry vodka (such as Deep Eddy)'}, {'quantity': '1.5', 'unit': 'fluid ounces', 'name': 'lime vodka'}, {'quantity': None, 'unit': None, 'name': 'ice, as needed'}, {'quantity': '4', 'unit': 'ounces', 'name': 'Sprite'}, {'quantity': '1', 'unit': None, 'name': 'lime slice, for garnish'}","Combine cranberry vodka and lime vodka in a tall glass. Add ice, top off with Sprite, and stir. Garnish with lime slice.","calories: 233, fat: 0g, carbs: 29g, protein: 1g, servings: 1",https://www.allrecipes.com/thmb/t6sPCnPNFmnIF7nIM_j-eXTSNio=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8558931_Hard-Cranberry-Limeade_Chef-Mo_4x3-dd71d1c4387a4c77a9105080c6cffa47.jpg
Mulled Cranberry Juice,https://www.allrecipes.com/mulled-cranberry-juice-recipe-8384692,"{'quantity': '4', 'unit': 'cups', 'name': 'cranberry juice cocktail'}, {'quantity': '1/4', 'unit': 'cup', 'name': 'white sugar'}, {'quantity': '3', 'unit': None, 'name': 'whole cloves'}, {'quantity': '1', 'unit': None, 'name': 'cinnamon stick, plus more for serving'}, {'quantity': '1 or 2', 'unit': 'small', 'name': 'oranges, thinly sliced, plus more for serving'}","Combine cranberry juice cocktail, granulated sugar, whole cloves, cinnamon stick, and orange slices in a 4-quart saucepan over medium heat.. Bring to a boil; stir until sugar dissolves. Reduce heat to low and simmer for 10 to 20 minutes.. Allow to cool slightly, and ladle into punch cups. Float one orange slice in each cup and garnish with a cinnamon stick. Serve warm.","calories: 101, fat: 0g, carbs: 25g, protein: 0g, servings: 8",https://www.allrecipes.com/thmb/J1AHps2BAJWB9ySvb0TfEmCd1Xc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/mulled-cranberry-juice-recipe-8384692lutzflcat4x3-7efae56f0d3442cd9bd579f01fcad7d5.jpg
Grinch Punch,https://www.allrecipes.com/grinch-punch-recipe-8362999,"{'quantity': '2', 'unit': 'quarts', 'name': 'lime sherbet, sitting at room temperature for a few minutes to soften'}, {'quantity': '1', 'unit': 'liter', 'name': 'lemon-lime soda'}, {'quantity': '8', 'unit': 'cups', 'name': 'Hawaiian Punch'}, {'quantity': '2', 'unit': 'cups', 'name': 'pineapple juice, plus more for coating glass rims'}, {'quantity': '1', 'unit': 'glass', 'name': 'sugar, for coating glass rims'}","Scoop softened lime sherbet into the bottom of a large punch bowl.. Pour the lemon-lime soda, Hawaiian Punch, and 2 cups pineapple juice over the sherbet and stir.. Place red sanding sugar in a shallow dish, and some additional pineapple juice in a separate shallow dish. Dip the rims of your serving glasses in the pineapple juice, then in the sanding sugar to coat the rims generously.. Ladle the punch into the prepared glasses.","calories: 347, fat: 3g, carbs: 80g, protein: 2g, servings: 12",https://www.allrecipes.com/thmb/YD1F4POQ1hBCmslhP2WXTg2IAL0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8362999_Grinch-Punch_fabeveryday_4x3-81870579f15a400497ecfba19e00dc2b.jpg
"Oolong, Orange, and Whiskey Punch",https://www.allrecipes.com/recipe/8506845/oolong-orange-and-whiskey-punch/,"{'quantity': '3', 'unit': 'cups', 'name': 'water'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'sugar'}, {'quantity': '1', 'unit': '(2 inch)', 'name': 'cinnamon stick'}, {'quantity': '2', 'unit': '', 'name': 'whole star anise'}, {'quantity': '6', 'unit': '', 'name': 'oolong tea bags'}, {'quantity': '2 ⅔', 'unit': 'cups', 'name': 'fresh orange juice'}, {'quantity': '1 ½', 'unit': 'cups', 'name': 'whiskey'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'fresh lemon juice (from 1 lemon)'}, {'quantity': '', 'unit': '', 'name': 'large ice cubes'}, {'quantity': '', 'unit': '', 'name': 'tangerine, sectioned and seeded'}","Bring water to a boil in a saucepan over high heat. Stir in sugar, cinnamon stick, and star anise. Remove from heat and add tea bags. Let steep for 3 minutes (or according to package directions for strongest tea). Remove tea bags. Let cool to room temperature, about 1 hour. Remove and discard cinnamon stick and star anise.. Stir together tea mixture, orange juice, whiskey, and lemon juice in a punch bowl or pitcher. Chill until cold, about 2 hours or up to overnight.. Garnish with tangerine slices and additional star anise. Ladle into ice-filled glasses. Top each with a tangerine slice.","calories: 164, fat: 0g, carbs: 14g, protein: 1g, servings: 8",https://www.allrecipes.com/thmb/hpgraAX3-_jtAzBekDfM7-7hn9U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/KH_091622_AR5435-4x3-1-ea2610cde78d4bebb5f91499cedb4569.jpg
Party Punch IV,https://www.allrecipes.com/recipe/32446/party-punch-iv/,"{'quantity': '1', 'unit': '(16 ounce) can', 'name': 'frozen pineapple juice concentrate'}, {'quantity': '1', 'unit': '(12 fluid ounce) can', 'name': 'frozen orange juice concentrate'}, {'quantity': '12', 'unit': 'fluid ounces', 'name': 'vodka'}, {'quantity': '2', 'unit': '(2 liter) bottles', 'name': 'lemon-lime flavored carbonated beverage, chilled'}, {'quantity': '1', 'unit': '(4 ounce) jar', 'name': 'maraschino cherries'}, {'quantity': '4', 'unit': '', 'name': 'oranges, sliced into rounds'}, {'quantity': '2', 'unit': 'trays', 'name': 'ice cubes'}","In a punch bowl, combine pineapple juice concentrate, orange juice concentrate and vodka. Pour in lemon-lime soda. Float cherries and orange slices on top. Add ice before serving.",,https://www.allrecipes.com/thmb/Wxb2kB8UsJJ-BNZ86Ca5BdS5TRM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2910744-4359d06a31fb43a59bef30b70f340e4c.jpg
Jamaican Rum Punch,https://www.allrecipes.com/recipe/236879/jamaican-rum-punch/,"{'quantity': '2 ½', 'unit': 'cups', 'name': 'pineapple juice'}, {'quantity': '2 ½', 'unit': 'cups', 'name': 'orange juice'}, {'quantity': '1', 'unit': 'cup', 'name': '151 proof rum (such as Bacardi®)'}, {'quantity': '½', 'unit': 'cup', 'name': ""dark rum (such as Meyer's®)""}, {'quantity': '¼', 'unit': 'cup', 'name': 'coconut-flavored rum (such as Malibu®)'}, {'quantity': '¼', 'unit': 'cup', 'name': 'fresh lime juice'}, {'quantity': '3', 'unit': 'tablespoons', 'name': 'grenadine syrup'}, {'quantity': '1', 'unit': '', 'name': 'orange, sliced'}, {'quantity': '1', 'unit': '', 'name': 'lime, sliced'}, {'quantity': '1', 'unit': '', 'name': 'lemon, sliced'}",,"calories: 254, fat: 1g, carbs: 30g, protein: 2g, servings: 8",https://cdn.jwplayer.com/v2/media/uiXsfBBS/poster.jpg?width=720
Budget Jungle Juice for a Crowd,https://www.allrecipes.com/recipe/137430/budget-jungle-juice-for-a-crowd/,"{'quantity': '2', 'unit': 'gallons', 'name': 'orange-flavored drink'}, {'quantity': '4', 'unit': 'quarts', 'name': 'pink lemonade'}, {'quantity': '4', 'unit': 'quarts', 'name': 'pineapple and orange juice blend'}, {'quantity': '4', 'unit': '(750 milliliter) bottles', 'name': 'vodka'}, {'quantity': '2', 'unit': '(750 milliliter) bottles', 'name': 'white rum'}, {'quantity': '2', 'unit': '(46 fluid ounce) cans', 'name': 'fruit punch'}","Gather the ingredients.. Pour orange drink, pink lemonade, pineapple-orange juice blend, vodka, rum, and fruit punch into a large punch bowl or container; stir well.. Serve and enjoy!",,https://cdn.jwplayer.com/v2/media/2kdPZCQc/thumbnails/mukwn8pG.jpg
